director,peso_diretor
Alexandra Lecl�re,
Alexandra Lescaze,7.6
Alexandra Lipsitz,7.2
Alexandra McGuinness,4.9
Alexandra Pelosi,7.1
Alexandra-Therese Keining,6.9
Alexandre Aja,6.3
Alexandre Arcady,6.0
Alexandre Astier,5.9
Alexandre Carvalho,4.5
Alexandre Castagnetti,6.3
Alexandre Coffre,5.8
Alexandre Court�s,5.5
Alexandre Franchi,6.3
Alexandre Lehmann,
Alexandre Moors,6.0
Alexandre O. Philippe,6.6
Alexandre Promio,6.4
Alexandre Rockwell,5.8
Alexandre Volkoff,6.1
Alexandros Avranas,7.1
Alexandru Maftei,7.3
Alexandru Solomon,7.5
Alexij Kharitidi,7.0
Alexis Alexiou,7.2
Alexis Dos Santos,6.6
Alexis Durand-Brault,7.1
Alexis Lloyd,4.0
Alexs Stadermann,6.0
Alf Sj�berg,7.2
Alfonso Arau,6.2
Alfonso Brescia,4.2
Alfonso Corona,2.3
Alfonso Corona Blake,3.2
Alfonso Cuar�n,7.6
Alfonso Gomez-Rejon,6.9
Alfonso Pati�o G�mez,4.4
Alfonso Pineda Ulloa,6.5
Alfonso Rodr�guez,3.1
Alfred Clark,6.8
Alfred E. Green,6.6
Alfred Hitchcock,7.0
Alfred J. Goulding,7.4
Alfred L. Werker,6.8
Alfred Lot,6.4
Alfred Santell,7.1
Alfred Shaughnessy,5.2
Alfred Sole,5.4
Alfred Vohrer,5.4
Alfred Zeisler,6.3
Alfredo Montero,5.8
Alfredo Rodriguez de Villa,5.3
Alfredo Soderguit,7.4
Alfredo Zacar�as,2.9
Algimantas Puipa,7.5
Ali Abbas Zafar,3.8
Ali Akbarzadeh,8.8
Ali Atay,8.1
Ali F. Mostafa,6.5
Ali Hatami,7.7
Ali Khamraev,6.5
Ali Khamrayev,6.4
Ali Rafie,7.0
Ali Samadi Ahadi,7.6
Ali Selim,7.3
Alice Guy,6.3
Alice Rohrwacher,6.8
Alice Winocour,6.5
Alice Wu,7.6
Alice de Andrade,6.5
Alicia Scherson,5.8
Alin Bijan,4.1
Alina Marazzi,5.8
Alireza Raisian,6.9
Alison Bagnall,5.6
Alison Eastwood,6.8
Alison Ellwood,8.1
Alison Klayman,7.6
Alison Maclean,6.5
Alison Murray,7.3
Alistair Legrand,5.7
Alister Grierson,5.9
Alix Delaporte,6.6
Alix Lambert,7.8
Alki David,6.4
Alla Surikova,7.6
Allan A. Goldstein,4.1
Allan Arkush,6.2
Allan Burns,5.9
Allan Dwan,6.7
Allan Eastman,4.6
Allan Edwall,6.7
Allan Francovich,7.3
Allan Harmon,7.3
Allan Holzman,5.3
Allan King,7.9
Allan Miller,7.1
Allan Mindel,6.2
Allan Moyle,5.7
Allan Ungar,5.3
Allen Baron,7.7
Allen Coulter,6.9
Allen H. Miner,5.9
Allen Hughes,6.2
Allen Kellogg,3.9
Allen Reisner,7.2
Allen Wolf,5.5
Alli Haapasalo,6.8
Allison Anders,6.5
Allison Burnett,6.0
Allison Liddi-Brown,5.7
Allison Schulnik,6.0
Alma Har'el,7.0
Almut Getto,7.0
Alon Gur Arye,7.7
Alonso Mayo,7.3
Alonso Ruizpalacios,7.8
Alper Caglar,7.3
Alper Mest�i,5.9
Alphonse Puthren,8.2
Alphonzo Wesson,6.9
Alrick Brown,6.6
Alton Glass,7.8
Aluizio Abranches,6.5
Alvaro Pardo,
Alvaro Passeri,4.6
Alvin Rakoff,5.6
Alvy Ray Smith,5.4
Alyona Zvantsova,7.2
Al� Abreu,8.0
Amanda Adolfsson,6.6
Amanda Goodwin,6.6
Amanda Gusack,5.7
Amanda Marsalis,4.6
Amanda Micheli,7.4
Amanda Wilder,7.2
Amando de Ossorio,4.7
Amardeep Kaleka,6.2
Amat Escalante,6.3
Amber Benson,7.4
Ameer Sultan,8.2
Ami Canaan Mann,5.7
Amin Dora,7.6
Amin Matalqa,7.3
Amir Amirani,8.2
Amir Bar-Lev,7.3
Amir Chamdin,6.3
Amir Escandari,7.1
Amir Muhammad,6.5
Amir Naderi,7.0
Amir Shervan,5.0
Amir Valinia,2.5
Amit Gupta,4.9
Amit Masurkar,7.2
Amma Asante,7.1
Amol Palekar,7.4
Amole Gupte,7.9
Amos Gitai,6.2
Amos Kollek,6.7
Amos Poe,4.8
Amos Posner,6.8
Amos Sefer,5.3
Amy Berg,7.3
Amy Flannery,
Amy Hardie,6.3
Amy Heckerling,5.9
Amy Holden Jones,5.4
Amy Redford,6.5
Amy Rice,7.1
Amy S. Weber,6.1
Amy Schatz,7.9
Amy Seimetz,6.3
Ana Katz,5.5
Ana Kokkinos,6.6
Ana Lily Amirpour,7.1
Ana Piterbarg,5.5
Ana Poliak,6.6
Ana Sofia Joanes,7.2
Analeine Cal y Mayor,6.1
Anand Gandhi,8.2
Anand K.V.,6.8
Anand Patwardhan,7.8
Anand Tucker,6.9
Anastasia Pappas,7.9
Anat Baron,6.9
Anatole Litvak,7.0
Anatoli Eiramdzhan,5.8
Anatoli Granik,7.8
Anatoliy Granik,7.8
Anatoliy Petrov,7.6
Anatoly Eyramdzhan,5.1
Ana�s Barbeau-Lavalette,6.9
Anca Damian,7.4
Andaleeb Sultanpuri,4.9
Anders Anderson,6.2
Anders Banke,5.7
Anders Engstr�m,5.9
Anders Gr�nros,5.9
Anders Jacobsson,5.5
Anders Johannes Bukh,6.9
Anders Morgenthaler,6.1
Anders Muammar,7.0
Anders Nilsson,6.6
Anders R�nnow Klarlund,6.4
Anders Thomas Jensen,7.4
Anders �stergaard,7.8
Anderson Boyd,
Andi Rogenhagen,6.8
Andre Singer,7.9
Andrea Arnold,6.8
Andrea Bianchi,5.7
Andrea Blaugrund Nevins,7.3
Andrea Di Stefano,6.6
Andrea Dorfman,6.7
Andrea Kreuzhage,7.8
Andrea Luka Zimmerman,6.4
Andrea Marini,
Andrea Mart�nez Crowther,6.9
Andrea Molaioli,6.7
Andrea Pallaoro,6.5
Andrea Segre,7.3
Andrea Staka,6.3
Andrea Tonacci,6.3
Andrea Zaccariello,5.7
Andreas Dalsgaard,7.2
Andreas Dresen,7.0
Andreas Horvath,4.3
Andreas Kleinert,6.9
Andreas Pichler,
Andreas Prochaska,7.1
Andreas Prodromou,
Andreas �hman,6.6
Andrei Gruzsniczki,7.3
Andrei Konchalovsky,7.7
Andrei Konst,3.0
Andrei Tarkovsky,8.1
Andrei Tutyshkin,7.7
Andrei Ujica,7.8
Andrej Kosak,8.1
Andres Clariond,6.1
Andres Veiel,6.9
Andrew Adamson,6.9
Andrew Bellware,2.5
Andrew Bergman,5.5
Andrew Birkin,6.9
Andrew Black,5.3
Andrew Bowler,7.2
Andrew Bujalski,6.3
Andrew C. Erin,5.3
Andrew Chapman,5.1
Andrew Chiaramonte,4.1
Andrew Cividino,7.3
Andrew Currie,5.6
Andrew Cymek,3.9
Andrew Davis,6.2
Andrew Disney,4.5
Andrew Dominik,6.8
Andrew Dosunmu,6.2
Andrew Douglas,6.2
Andrew Drazek,3.6
Andrew Droz Palermo,5.5
Andrew Fleming,6.1
Andrew Gallerani,6.4
Andrew Gernhard,3.5
Andrew Getty,
Andrew Goth,4.4
Andrew Green,2.3
Andrew Grieve,8.2
Andrew Gurland,6.2
Andrew Haigh,7.7
Andrew Horn,8.1
Andrew Huculiak,7.1
Andrew Hull,3.6
Andrew Hulme,4.5
Andrew Hutton,8.2
Andrew Hyatt,4.0
Andrew J. Kuehn,6.0
Andrew Jarecki,7.1
Andrew Jenks,7.7
Andrew Jones,3.5
Andrew Knight,6.1
Andrew Kotting,5.7
Andrew L. Stone,6.5
Andrew Lancaster,6.2
Andrew Lane,4.9
Andrew Lauer,2.8
Andrew Leman,7.4
Andrew Levitas,6.1
Andrew Martin,
Andrew Marton,5.9
Andrew Molina,7.0
Andrew Mondshein,6.8
Andrew Monument,7.2
Andrew Morahan,5.5
Andrew Morgan,7.4
Andrew Nackman,8.2
Andrew Napier,7.1
Andrew Neel,5.1
Andrew Niccol,6.7
Andrew Nisker,7.8
Andrew O'Connor,6.0
Andrew Okpeaha MacLean,6.4
Andrew Oudot,5.9
Andrew P. Jones,4.3
Andrew Paquin,4.3
Andrew Parkinson,5.3
Andrew Piddington,6.3
Andrew Pozza,3.5
Andrew Putschoegl,5.2
Andrew R. Jones,7.6
Andrew Renzi,8.2
Andrew Robertson,7.2
Andrew Robinson,6.0
Andrew Rossi,6.9
Andrew Scheinman,6.0
Andrew Shea,6.8
Andrew Shortell,4.5
Andrew Sipes,4.1
Andrew Solt,7.9
Andrew Stanton,7.5
Andrew Steggall,
Andrew Stevens,4.2
Andrew Sugerman,3.9
Andrew Thomas Hunt,5.2
Andrew Traucki,4.9
Andrew V. McLaglen,6.1
Andrew Van Slee,3.7
Andrew Wagner,6.2
Andrew Waller,5.3
Andrew Weiner,4.1
Andrew van den Houten,4.7
Andrews Jenkins,6.2
Andrey Iskanov,5.7
Andrey Kavun,6.5
Andrey Konchalovskiy,6.7
Andrey Kravchuk,7.3
Andrey Kudinenko,6.4
Andrey Malyukov,6.3
Andrey Proshkin,6.2
Andrey Rostotskiy,
Andrey Smirnov,8.0
Andrey Zvyagintsev,7.7
Andrucha Waddington,6.7
Andrzej Bartkowiak,5.3
Andrzej Jakimowski,7.1
Andrzej Kondratiuk,7.5
Andrzej Krakowski,5.6
Andrzej Munk,7.5
Andrzej Sekula,5.6
Andrzej Titkow,
Andrzej Wajda,7.3
Andrzej Zulawski,6.8
Andr� Cayatte,7.1
Andr� De Toth,6.8
Andr� Delvaux,7.1
Andr� Erkau,6.7
Andr� Faria,6.2
Andr� Farwagi,4.6
Andr� Hunebelle,6.4
Andr� Klotzel,7.1
Andr� M�lan�on,7.6
Andr� Pellenz,6.7
Andr� Turpin,7.2
Andr� T�chin�,6.6
Andr� van Duren,6.5
Andr� van Heerden,5.0
Andr� �vredal,7.0
Andr�s Baiz,7.3
Andr�s Borghi,6.0
Andr�s G. Schaer,4.5
Andr�s Jeles,7.2
Andr�s Kern,
Andr�s Muschietti,6.2
Andr�s Useche,5.5
Andr�s Waissbluth,6.3
Andr�s Wood,7.1
