director,peso_diretor
Roar Uthaug,6.6
Rob Bowman,5.8
Rob Burnett,
Rob Cohen,5.7
Rob Connolly,
Rob Cowan,5.0
Rob DeFranco,4.3
Rob DelGaudio,6.4
Rob Diamond,4.0
Rob Epstein,8.4
Rob Grant,6.9
Rob Green,5.4
Rob Hardy,4.4
Rob Hedden,5.0
Rob Heydon,5.1
Rob Hodselmans,6.8
Rob Kuhns,7.0
Rob LaDuca,7.2
Rob Letterman,4.9
Rob Marshall,6.6
Rob McKittrick,6.8
Rob McLellan,6.9
Rob Meltzer,5.0
Rob Meyer,6.3
Rob Minkoff,6.0
Rob Moretti,5.1
Rob Morrow,6.5
Rob Pearlstein,5.9
Rob Perez,6.8
Rob Pritts,4.6
Rob Reiner,6.9
Rob Schmidt,5.8
Rob Schneider,5.1
Rob Sitch,7.0
Rob Spera,3.7
Rob Stefaniuk,6.1
Rob Stewart,7.7
Rob Thomas,6.8
Rob VanAlkemade,6.4
Rob Walker,5.8
Rob Weiss,5.4
Rob Williams,5.7
Rob Zombie,6.0
Robb Leech,6.8
Robb Moss,7.1
Robbe De Hert,6.4
Robbie Bryan,4.0
Robbie Pickering,6.5
Robbins Barstow,6.3
Robby Grewal,6.9
Robby Henson,5.7
Robert A. Endelson,6.4
Robert A. Masciantonio,4.0
Robert Adetuyi,4.4
Robert Alan Aurthur,6.2
Robert Aldrich,6.7
Robert Allan Ackerman,6.4
Robert Allen Schnitzer,3.9
Robert Altman,6.6
Robert Alton,5.9
Robert Asher,7.1
Robert B. Bean,6.8
Robert B. Weide,7.7
Robert Barry Ptolemy,7.2
Robert Ben Garant,5.6
Robert Benton,6.6
Robert Berlinger,4.5
Robert Bierman,6.1
Robert Boris,4.4
Robert Bresson,7.7
Robert Brinkmann,7.9
Robert Budreau,8.8
Robert Butler,5.7
Robert C. Cooper,7.4
Robert C. Dertano,1.5
Robert C. Ramirez,5.8
Robert Carl Cohen,6.4
Robert Carlyle,7.0
Robert Cary,6.5
Robert Celestino,6.1
Robert Child,4.1
Robert Clampett,7.6
Robert Clouse,6.0
Robert Cohen,6.6
Robert Connolly,6.7
Robert Conway,4.1
Robert Crombie,4.9
Robert Cuffley,5.0
Robert Culp,6.5
Robert D. Siegel,6.7
Robert D. Webb,6.3
Robert Dalva,5.9
Robert Davi,6.4
Robert Day,6.3
Robert De Niro,7.3
Robert Deubel,4.1
Robert Dornhelm,6.0
Robert Downey Sr.,5.8
Robert Drew,7.4
Robert Duvall,5.9
Robert Dyke,4.3
Robert Edwards,7.2
Robert Eggers,7.5
Robert Elfstrom,7.4
Robert Ellis Miller,6.5
Robert Emmett Tansey,6.4
Robert Englund,4.6
Robert Enrico,7.4
Robert Erickson,6.1
Robert Ethan Gunnerson,6.5
Robert F. Hill,5.8
Robert F. McGowan,7.7
Robert F. Slatzer,2.0
Robert Fantinatto,6.8
Robert Favreau,7.3
Robert Florey,6.7
Robert Fortier,7.5
Robert Fowler,5.5
Robert Frank,6.5
Robert Freeman,3.9
Robert Fuest,6.0
Robert G. Vignola,8.3
Robert Gardner,7.4
Robert Gist,5.1
Robert Glinski,7.3
Robert Gordon,6.3
Robert Greene,6.2
Robert Greenwald,6.4
Robert Guenette,6.0
Robert Gu�diguian,7.0
Robert H. Gardner,7.4
Robert H. Gwinn,2.6
Robert H. Lieberman,7.0
Robert Hall,5.6
Robert Hamer,7.6
Robert Hammer,4.7
Robert Harling,5.8
Robert Harmon,6.7
Robert Hartford-Davis,5.7
Robert Hasfogel,4.9
Robert Heath,5.6
Robert Hiltzik,5.3
Robert Hossein,7.0
Robert Houston,6.9
Robert Hutton,2.5
Robert Iscove,5.6
Robert J. Emery,6.5
Robert J. Flaherty,7.3
Robert J. Gurney Jr.,2.4
Robert J. Rosenthal,4.7
Robert J. Siegel,6.4
Robert Jan Westdijk,6.3
Robert Kane Pappas,8.1
Robert Kaylor,6.1
Robert Kenner,7.8
Robert Kirbyson,
Robert Kirk,4.7
Robert Kiviat,3.7
Robert Klane,4.8
Robert Kouba,
Robert Krakower,8.4
Robert Kramer,6.9
Robert Krause,3.6
Robert Kubilos,4.9
Robert Kurtzman,4.7
Robert L. Collins,6.1
Robert L. Levy,5.1
Robert Lamoureux,6.5
Robert Leacock,6.2
Robert Lee,4.1
Robert Lee King,6.3
Robert Legato,
Robert Lepage,7.1
Robert Lewis,6.1
Robert Lieberman,5.9
Robert Lillhonga,5.4
Robert Longo,5.5
Robert Lorenz,6.8
Robert Luketic,5.9
Robert Lynn,6.1
Robert L�bel,7.4
Robert M. Young,6.6
Robert Malenfant,4.7
Robert Mandel,6.1
Robert Manganelli,3.8
Robert Mann,3.2
Robert Marcarelli,4.6
Robert Markowitz,6.5
Robert Martin Carroll,5.4
Robert May,7.1
Robert McCallum,
Robert McKimson,7.6
Robert Mearns,
Robert Meyer Burnett,7.0
Robert Michaels,6.0
Robert Mond,
Robert Montgomery,7.0
Robert Moore,6.6
Robert Moresco,6.4
Robert Mugge,7.5
Robert Mullan,7.4
Robert Mulligan,6.9
Robert N. Bradbury,5.3
Robert Nathan,4.5
Robert Nelson,6.2
Robert O'Hara,2.8
Robert Oppel,7.3
Robert Parigi,6.5
Robert Parrish,6.2
Robert Patton-Spruill,5.7
Robert Pirosh,6.4
Robert Pratten,4.3
Robert Radler,4.3
Robert Raphael Goodman,7.3
Robert Redford,6.9
Robert Resnikoff,5.6
Robert Rodriguez,5.7
Robert Rossen,7.0
Robert Rugan,
Robert S. Fiveson,3.4
Robert Sahakyants,8.1
Robert Saitzyk,4.5
Robert Salis,5.9
Robert Sarkies,6.5
Robert Scheerer,5.8
Robert Schwartzman,
Robert Schwentke,6.6
Robert Scott,5.2
Robert Shallcross,7.0
Robert Shaye,6.2
Robert Sigl,4.5
Robert Siodmak,7.1
Robert Smithson,6.2
Robert Sparr,6.2
Robert Stevens,6.1
Robert Stevenson,6.6
Robert Stone,7.3
Robert Stromberg,7.0
Robert Taleghany,2.2
Robert Taylor,5.4
Robert Thalheim,6.8
Robert Tinnell,4.2
Robert Towne,6.3
Robert Townsend,6.2
Robert Uth,8.2
Robert Vernay,7.3
Robert Vernon,5.9
Robert Veze,3.7
Robert Vince,4.5
Robert Vincent O'Neill,5.2
Robert Voskanian,4.7
Robert Wiene,7.6
Robert Wilde,6.3
Robert Wise,6.9
Robert Wuhl,5.6
Robert Young,6.3
Robert Youngson,7.2
Robert Z. Leonard,6.8
Robert Zemeckis,7.2
Robert-Adrian Pejo,6.9
Roberta Findlay,3.6
Roberta Grossman,5.1
Roberta Marques,6.5
Roberto And�,7.1
Roberto Benabib,6.0
Roberto Benigni,7.2
Roberto Bianchi Montero,5.4
Roberto Cast�n,5.9
Roberto Catani,
Roberto Faenza,5.9
Roberto Gavald�n,7.6
Roberto Girault,7.2
Roberto Infascelli,6.9
Roberto Malenotti,6.7
Roberto Minervini,7.0
Roberto Mitrotti,6.1
Roberto Orazi,5.5
Roberto Rossellini,7.2
Roberto Santucci,5.6
Roberto Sneider,7.4
Roberts Gannaway,5.9
Robin Blazak,3.5
Robin Campillo,6.5
Robin Dunne,
Robin Hardy,5.8
Robin Hessman,7.2
Robin Nations,5.5
Robin Pront,
Robin Schiff,4.1
Robin Sheppard,6.6
Robin Spry,6.8
Robin Swicord,6.9
Robinson Devor,6.4
Rocco DeVilliers,6.9
Rocco Papaleo,6.5
Rocco Urbisci,8.4
Rocio Cano,
Rock Baijnauth,
Rockne S. O'Bannon,6.3
Rocky Lang,5.9
Rod Amateau,4.6
Rod Blackhurst,
Rod Daniel,5.3
Rod Hardy,5.6
Rod Holcomb,5.1
Rod Lurie,6.7
Roddy McDowall,6.4
Rodger Grossman,6.6
Rodman Flender,5.7
Rodney Ascher,6.1
Rodney Bennett,8.0
Rodney Gibbons,6.0
Rodney McDonald,3.1
Rodolphe Marconi,6.2
Rodrigo Arag�o,5.6
Rodrigo Bellott,6.2
Rodrigo Blaas,7.4
Rodrigo Cort�s,6.6
Rodrigo Garc�a,6.7
Rodrigo Gudi�o,5.3
Rodrigo Moreno,6.6
Rodrigo Pl�,7.1
Rodrigo Sorogoyen,7.0
Rodrigue Jean,6.4
Rody Claude,
Roel Mondelaers,5.4
Roel Rein�,4.9
Roeland Kerbosch,7.9
Rogelio A. Gonz�lez,7.0
Roger Allers,7.9
Roger Avary,6.7
Roger Cardinal,5.4
Roger Christian,4.7
Roger Corman,5.5
Roger Delattre,6.5
Roger Donaldson,6.5
Roger Duchowny,5.9
Roger Gnoan M'Bala,6.9
Roger Goldby,6.5
Roger Gual,5.8
Roger Hedden,5.8
Roger Holzberg,4.7
Roger Kay,5.8
Roger Kumble,5.0
Roger Melvin,4.9
Roger Michell,6.7
Roger Nygard,6.8
Roger Ross Williams,7.5
Roger Roth,2.3
Roger Spottiswoode,6.4
Roger Vadim,5.9
Roger Watkins,5.3
Roger Young,5.6
Rogier Kappers,7.6
Rog�rio Sganzerla,7.3
Rohan Sippy,6.5
Rohit Colin Rao,7.0
Rohit Dhawan,5.6
Rohit Shetty,5.9
Rok Bicek,7.9
Roko Belic,7.6
Rokuro Mochizuki,7.1
Rolan Bykov,7.5
Roland Emmerich,5.8
Roland Joff�,6.0
Roland Mesa,3.7
Roland Reber,3.9
Roland Suso Richter,6.6
Roland Vranik,
Roland West,6.4
Roland af H�llstr�m,5.9
Rolando Colla,6.6
Rolando Ravello,6.2
Rolf H�drich,7.8
Rolf Lyssy,7.3
Rolf Olsen,6.3
Rolf Sch�bel,7.9
Rolf Silber,7.0
Rolf de Heer,6.8
Rolfe Kanefsky,4.1
Rollin Binzer,7.9
Rollo Martins,
Romain Basset,4.7
Romain Gavras,6.1
Romain Goupil,6.1
Romain L�vy,6.0
Roman Balayan,7.6
Roman Cheung,5.5
Roman Coppola,5.6
Roman Davydov,7.9
Roman Kachanov,7.6
Roman Karimov,6.8
Roman Polanski,7.3
Roman Prygunov,5.6
Roman V�vra,5.8
Roman Zaluski,6.5
Romano Scavolini,5.7
Romolo Guerrieri,6.3
Romuald Karmakar,7.7
Ron Carlson,5.3
Ron Casden,4.7
Ron Chapman,6.9
Ron Daniels,6.6
Ron Davis,8.1
Ron Fricke,8.3
Ron Howard,6.6
Ron Joy,3.1
Ron Judkins,6.1
Ron Krauss,5.8
Ron Lagomarsino,6.1
Ron Link,4.2
Ron Mann,7.2
Ron Maxwell,6.2
Ron Morales,6.7
Ron Nyswaner,5.7
Ron Oliver,5.6
Ron Ormond,5.1
Ron Satlof,6.9
Ron Scalpello,5.9
Ron Senkowski,5.2
Ron Shelton,6.2
Ron Silver,6.0
Ron Underwood,5.5
Ron Winston,5.9
Rona Mark,5.8
Ronald Bronstein,5.9
Ronald Neame,7.1
Ronald V. Ashcroft,3.3
Ronaldo Del Carmen,7.1
Roni Ezra,6.6
Ronnie Sandahl,6.7
Ronnie Thompson,4.5
Ronny Yu,6.2
Rory B. Quintos,7.3
Rory Kelly,5.8
Rory Kennedy,7.8
Rory Rooney,
Rosa Karo,5.5
Rosa von Praunheim,6.6
Rosane Svartman,5.9
Rosanna Arquette,6.4
Rosario Roveto Jr.,6.2
Roschdy Zem,6.5
Roscoe 'Fatty' Arbuckle,6.7
Rose Bosch,6.2
Rose Troche,6.4
Rosemary Myers,
Rosemary Rodriguez,5.8
Roshan Andrews,7.9
Rospo Pallenberg,4.1
Ross Ashcroft,7.8
Ross Kagan Marks,6.3
Ross Katz,6.5
Ross McElwee,7.1
Ross Partridge,8.0
Ross Patterson,
Ross Wilson,7.6
Rossano Brazzi,5.4
Rosser Goodman,5.6
Rotimi Rainwater,5.4
Rouben Mamoulian,7.1
Rowan Athale,6.5
Rowan Joffe,6.1
Rowan Woods,6.4
Rowdy Herrington,6.3
Rowland Brown,6.9
Rowland V. Lee,6.8
Roxanne Meadows,9.1
Roxy Shih,
Roy Allen Smith,5.8
Roy Andersson,6.9
Roy Boulting,7.0
Roy Del Ruth,6.6
Roy Frumkes,6.7
Roy Hin Yeung Chow,6.1
Roy Huggins,6.8
Roy Knyrim,3.7
Roy London,5.4
Roy Rowland,6.7
Roy T. Wood,5.1
Roy Ward Baker,6.5
Roy William Neill,7.0
Royston Tan,6.3
Ruairi Robinson,6.3
Ruba Nadda,5.9
Ruben Alves,7.4
Ruben Fleischer,6.9
Ruben �stlund,6.9
Rub�n Mendoza,6.1
Rucha Humnabadkar,7.8
Rudi Lagemann,7.2
Rudi Rosenberg,
Rudi Van Den Bossche,4.7
Rudolf Sch�ndler,5.8
Rudolf Thome,6.2
Rudolf van den Berg,6.4
Rudolph Mat�,6.6
Rudy De Luca,4.8
Rudy Poe,3.3
Rudy Soedjarwo,7.6
Ruedi Gerber,5.7
Rufus Norris,7.2
Ruggero Deodato,5.4
Rumi Jaffery,3.5
Rumle Hammerich,5.9
Run Wrake,7.4
Rune Denstad Langlo,6.7
Rune Schj�tt,6.2
Rupert Edwards,8.2
Rupert Glasson,5.3
Rupert Goold,6.3
Rupert Harvey,4.0
Rupert Hughes,7.3
Rupert Murray,7.1
Rupert Sanders,6.1
Rupert Wainwright,5.3
Rupert Wyatt,6.8
Ruslan Baltzer,5.5
Russ Hexter,7.1
Russ Mayberry,5.1
Russ Meyer,5.7
Russ Parr,5.7
Russell Barnes,8.4
Russell Crowe,7.2
Russell DeGrazier,5.3
Russell Holt,6.9
Russell Howard,7.5
Russell Leigh Sharman,5.1
Russell Mulcahy,5.7
Russell P. Marleau,6.8
Russell Rouse,6.5
Russell Solberg,5.3
Russell Thomas,8.1
Rustam Branaman,4.2
Rusty Cundieff,6.1
Ruth Ann Baldwin,5.6
Ruth Platt,
Ruud van Hemert,6.2
Ruxandra Zenide,7.1
Ruy Guerra,7.1
Ry Russo-Young,5.1
Ryan Andrews,4.6
Ryan Barton-Grimley,4.8
Ryan Combs,3.2
Ryan Coogler,7.5
Ryan Craig,5.3
Ryan Darst,6.8
Ryan Eslinger,5.2
Ryan Fleck,7.3
Ryan Gosling,5.8
Ryan Larkin,7.1
Ryan Lee Driscoll,3.6
Ryan Little,5.8
Ryan M. Kennedy,5.8
Ryan McGarry,6.7
Ryan McKinney,4.3
Ryan Miningham,7.1
Ryan Mitchelle,7.7
Ryan Murdock,5.7
Ryan Murphy,6.8
Ryan Nicholson,4.8
Ryan Perez,5.4
Ryan Phillippe,5.3
Ryan Piers Williams,4.9
Ryan Polito,7.1
Ryan Redford,6.4
Ryan Richmond,4.5
Ryan Roy,5.2
Ryan Sage,6.3
Ryan Schifrin,5.1
Ryan Schwartz,
Ryan Shiraki,5.2
Ryan Smith,5.4
Ryan Stevens Harris,2.8
Ryan Trecartin,7.6
Ryan White,7.3
Ryan Wise,8.1
Ryo Nishimura,6.1
Ryosuke Hashiguchi,7.3
Ryota Nakano,
Ryszard Bugajski,7.3
Ryszard Zatorski,4.7
Ryuichi Hiroki,7.2
Ryuta Tazaki,6.8
Ry� Murakami,6.1
Ry�hei Kitamura,6.4
Ry�ta Miyake,6.3
Ry�tar� Makihara,6.9
Ry�tar� Muramatsu,5.2
Ry�tar� Nakamura,6.3
R�bert Koltai,6.8
R�diger Suchsland,6.7
R�diger S�nner,7.1
R�gis Roinsard,6.9
R�gis Wargnier,7.0
R�mi Bezan�on,7.3
R�mi Chay�,8.0
R�mi Lange,7.0
R�mi Mauger,7.6
R�my Duchemin,5.8
R�nar R�narsson,8.0
S Krishna,6.4
S. Craig Zahler,
S. Lee Pogostin,6.0
S. Shankar,7.7
S. Sylvan Simon,6.7
S.A. Halewood,6.4
S.F. Brownrigg,5.2
S.J. Clarkson,6.7
S.J. Evans,2.7
S.R. Bindler,6.2
S.S. Rajamouli,7.9
S.S. Wilson,5.7
SABU,7.1
Saara Cantell,6.2
Sabiha Sumar,7.6
Sabina Guzzanti,7.4
Sabine Bernardi,7.1
Sabine Gisiger,6.7
Sabir Khan,4.7
Sacha Bennett,5.1
Sacha Gervasi,7.5
Sacha Goedegebure,6.7
Sacha Guitry,7.4
Sacha Jenkins,6.0
Sacha Polak,6.3
Sacha Wolff,
Sachin,8.1
Sachin Bajaj,3.0
Sachin Kundalkar,4.3
Sachit Patil,6.5
Sadao Yamanaka,7.7
Sadyk Sher-Niyaz,8.6
Saeed Soheili,5.7
Safy Nebbou,6.6
Sagar Ballary,7.7
Sai Paranjape,8.0
Sajid Khan,4.0
Sajid Nadiadwala,5.6
Sakari Kirjavainen,6.6
Sakari Rimminen,5.8
Saket Chaudhary,6.8
Sakichi Sat�,6.1
Salam Bappu,5.1
Salim Akil,5.6
Sally El Hosaini,6.6
Sally Field,5.3
Sally Mattison,4.2
Sally Potter,6.3
Salom� Breziner,6.2
Salvador Carrasco,6.8
Salvador Garcini,4.6
Salvador Garc�a Ruiz,5.8
Salvador Litvak,5.0
Salvador del Solar,7.1
Salvatore Mereu,6.4
Salvatore Samperi,6.2
Sam Auster,3.8
Sam Bozzo,7.7
Sam Drog,3.9
Sam Esmail,6.7
Sam Firstenberg,4.1
Sam Fleischner,6.7
Sam Friedlander,4.5
Sam Garbarski,7.0
Sam George,7.7
Sam Grossman,4.5
Sam Henry Kass,5.9
Sam Hoare,6.3
Sam Irvin,5.2
Sam Jaeger,6.9
Sam Jaimes,7.7
Sam Jones,7.8
Sam Kadi,7.0
Sam Levinson,6.0
Sam Liu,6.9
Sam Mendes,7.5
Sam Miller,6.2
Sam Newfield,3.6
Sam O'Steen,5.3
Sam Peckinpah,7.1
Sam Pillsbury,5.1
Sam Qualiana,1.9
Sam Raimi,6.9
Sam Seder,6.3
Sam Shepard,5.2
Sam Taylor,7.1
Sam Taylor-Johnson,5.7
Sam Wanamaker,5.9
Sam Weisman,5.5
Sam Wood,7.0
Sam de Jong,6.9
Samad Davis,4.8
Samantha Buck,7.5
Samantha Fuller,6.8
Samantha Grant,6.8
Samantha Lang,5.1
Samantha Morton,6.9
Sameer Malkan,6.6
Sameer Patil,7.3
Sameer Vidwans,7.1
Sami Kettunen,6.7
Sami Saif,5.9
Samir,6.8
Samira Goetschel,
Samira Makhmalbaf,7.0
Sammo Kam-Bo Hung,7.0
Samuel Bayer,5.2
Samuel Benchetrit,7.8
Samuel Bradford,3.3
Samuel Fischer,6.1
Samuel Fuller,6.9
Samuel Kuhn,8.0
Samuel M. Sherman,2.1
Samuel Maoz,6.9
Samuli Valkama,5.8
Samvel Gasparov,7.1
Sanaa Hamri,6.3
Sande N. Johnsen,5.6
Sande Zeig,4.7
Sandeep Sawant,8.1
Sandesh Kohli,5.8
Sandhya Suri,7.0
Sandi Simcha Dubowski,7.2
Sandip Ray,8.3
Sandor Stern,6.7
Sandra Goldbacher,6.7
Sandra Kogut,7.1
Sandra Nettelbeck,6.9
Sandra Werneck,6.9
Sandrine Bonnaire,7.6
Sandrine Veysset,7.0
Sandro Aguilar,5.3
Sandro Cecca,4.3
Sandy Collora,5.8
Sandy Tung,5.4
Sandy Wilson,6.4
Sang Jun Park,5.7
Sang Man Kim,6.7
Sang-Jin Kim,6.7
Sang-Yong Lee,6.1
Sang-gi Lee,6.6
Sang-ho Yeon,6.7
Sang-hoon Ahn,6.9
Sang-il Lee,7.2
Sang-ok Shin,5.8
Sang-soo Hong,6.9
Sang-soo Im,6.5
Sang-woo Kim,6.9
Sang-yoon Lim,6.7
Sangeeth Sivan,5.4
Sanjay F. Gupta,5.7
Sanjay Gadhvi,6.5
Sanjay Gupta,5.7
Sanjay Jadhav,7.5
Sanjay Leela Bhansali,7.2
Sanjay Patel,
Sanjay Puransingh Chauhan,6.5
Sanjay Rawal,7.0
Sanna Lenken,7.4
Sanne Vogel,6.3
Santi Amodeo,5.6
Santiago Bou Grasso,8.1
Santiago Carlos Oves,7.3
Santiago Mitre,6.9
Santiago Otheguy,6.7
Santiago Segura,5.9
Santiago Zannou,6.2
Santiago �lvarez,6.7
Santosh Manjrekhar,7.6
Santosh Sivan,7.0
Santram Varma,4.6
Sanyuan Peng,6.3
Sara Blecher,7.4
Sara Colangelo,5.8
Sara Dosa,
Sara Driver,7.1
Sara Fishko,
Sara Hirsh Bordo,9.4
Sara Johnsen,6.6
Sara Lamm,6.6
Sara St. Onge,6.3
Sara Sugarman,5.7
Sarab Neelam,7.0
Sarah Adina Smith,5.4
Sarah Gavron,6.7
Sarah George,6.8
Sarah Harding,7.5
Sarah Kelly,6.5
Sarah Kernochan,6.7
Sarah Maldoror,7.0
Sarah McCarthy,7.4
Sarah Pia Anderson,7.8
Sarah Polley,7.3
Sarah Rotella,
Sarah Siegel-Magness,5.8
Sarah Spillane,5.2
Sarah Townsend,7.4
Sarah Watt,7.1
Saran,7.3
Saratswadee Wongsomphet,7.2
Saravana Subaiya,7.0
Sari Gilman,6.7
Sarik Andreasyan,5.2
Sasa Gedeon,7.3
Sascha Paladino,7.7
Saschka Unseld,7.7
Sasha Knezev,7.0
Sasha Reuther,8.4
Saskia Diesing,6.9
Sathyan Anthikad,7.1
Satish Kaushik,4.8
Satish Motling,3.0
Satish Rajwade,7.4
Satoru Ogura,4.0
Satoshi Isaka,6.7
Satoshi Kimura,7.0
Satoshi Kon,7.8
Satoshi Miki,6.8
Satoshi Nishimura,7.4
Satoshi Saga,7.0
Satsuo Yamamoto,7.2
Satyajit Ray,8.0
Satyanarayana E.V.V.,6.2
Saul Bass,6.9
Saul Dibb,6.9
Saul Metzstein,6.6
Saul Rubinek,6.6
Saul Swimmer,8.3
Saurab Narang,4.8
Saurabh Kabra,4.3
Savage Steve Holland,5.4
Saverio Costanzo,6.5
Saverio Di Biagio,6.1
Savva Kulish,7.2
Saxon Logan,5.9
Scarlet Pimpernel,4.8
Scooter Downey,4.7
Scooter McCrae,3.8
Scot Armstrong,5.5
Scott B. Hansen,
Scott Caan,6.3
Scott Coffey,6.0
Scott Cohen,5.1
Scott Colthorp,7.4
Scott Cooper,7.7
Scott Crawford,7.2
Scott Culver,4.2
Scott Derrickson,6.2
Scott Dow,3.3
Scott Elliott,6.6
Scott Foley,5.4
Scott Frank,6.8
Scott Gabriel,6.2
Scott Gawlik,7.6
Scott Glosserman,6.8
Scott Graham,6.4
Scott Hamilton Kennedy,7.1
Scott Harper,1.5
Scott Harris,5.7
Scott Hartford-Davis,5.4
Scott Hicks,7.0
Scott J. Gill,7.2
Scott Jeralds,6.5
Scott Kalvert,6.4
Scott L. Flynn,6.1
Scott L. Montoya,7.1
Scott Leberecht,5.9
Scott Lew,5.8
Scott Mactavish,6.7
Scott Mann,6.1
Scott Marshall,4.7
Scott Michell,5.4
Scott Noble,7.9
Scott Owen Moore,6.5
Scott P. Harris,7.9
Scott P. Levy,3.2
Scott Prendergast,6.7
Scott Reynolds,6.5
Scott Roberts,6.0
Scott Rodgers,4.9
Scott Ryan,6.6
Scott S. Anderson,5.6
Scott Sanders,6.8
Scott Saunders,5.4
Scott Schirmer,5.8
Scott Silver,5.2
Scott Smith,7.1
Scott Speer,6.5
Scott Spiegel,5.0
Scott Stern,6.7
Scott Stewart,5.7
Scott Sublett,4.0
Scott Teems,7.1
Scott Thomas,5.2
Scott Thurman,6.9
Scott W. McKinlay,3.4
Scott Walker,6.4
Scott Waugh,6.6
Scott Wheeler,2.7
Scott Willis,6.9
Scott Winant,4.7
Scott Wiper,5.6
Scott Z. Burns,7.0
Scott Zakarin,4.9
Scott Ziehl,5.0
Sean Ackerman,6.1
Sean Anders,6.2
Sean Astin,6.8
Sean Baker,6.9
Sean Branney,6.6
Sean Byrne,6.7
Sean Cain,4.5
Sean Cisterna,
Sean Dillon,3.5
Sean Donnelly,6.8
Sean Dunne,7.1
Sean Durkin,7.0
Sean Ellis,7.0
Sean Garrity,6.3
Sean Gerowin,6.7
Sean Grundy,8.1
Sean Gullette,6.3
Sean H.A. Gallagher,5.8
Sean Hanish,
Sean Hartofilis,7.7
Sean Jackson,3.7
Sean MacLeod Phillips,7.1
Sean Mathias,7.3
Sean McAllister,
Sean McConville,4.6
Sean McGinly,6.5
Sean McNamara,5.3
Sean Meredith,6.6
Sean Mewshaw,8.4
Sean Mullin,6.2
Sean Nalaboff,
Sean Patrick Cannon,2.5
Sean Paul Lockhart,5.0
Sean Penn,7.2
Sean S. Cunningham,5.4
Sean Skelding,3.6
Sean Stanek,4.4
Sean Stone,3.3
Sean Tiedeman,6.6
Sean Tretta,4.8
Sean Whitley,6.7
Sebastian Dehnhardt,7.8
Sebastian Grobler,6.8
Sebastian Gutierrez,5.7
Sebastian Howard,5.7
Sebastian Junger,7.4
Sebastian Niemann,5.4
Sebastian Schipper,7.4
Sebastian Vigg,4.3
Sebastian del Amo,6.7
Sebastiano Rizzo,7.6
Sebasti�n Borensztein,7.3
Sebasti�n Cordero,6.7
Sebasti�n Lelio,6.3
Sebasti�n Silva,6.1
See-Yuen Ng,7.3
Segundo de Chom�n,6.0
Seiji Chiba,4.3
Seiji Izumi,5.8
Seiji Maruyama,7.1
Seiji Mizushima,7.2
Seijir� K�yama,8.2
Seijun Suzuki,7.1
Seiko Sayama,7.5
Sekhar Kammula,7.9
Selim Evci,4.5
Selma Vilhunen,6.7
Selton Mello,7.4
Sel�uk Aydemir,7.4
Semih Kaplanoglu,6.7
Semyon Aranovich,7.2
Seng Tat Liew,6.3
Sentar� Shirai,7.6
Seok-hoon Lee,6.5
Seok-jae Hong,6.7
Seong-hoon Kim,7.2
Seong-soo Kim,6.8
Seong-yun Oh,7.1
Seppo Huunonen,6.0
Serdar Akar,6.6
Seren Y�ce,7.5
Serge Bard,6.9
Serge Bourguignon,6.4
Serge Bozon,5.8
Serge Gainsbourg,6.2
Serge Gisqui�re,4.5
Serge Korber,6.1
Serge Leroy,6.0
Serge Meynard,6.1
Serge Rodnunsky,3.3
Sergei Dvortsevoy,7.1
Sergei Glezin,6.7
Sergei Krutin,7.1
Sergei Loznitsa,7.0
Sergei Lysenko,
Sergei M. Eisenstein,7.4
Sergei Ovcharov,6.5
Sergei Parajanov,7.4
Sergey Bobrov,4.9
Sergey Bodrov,6.4
Sergey Bodrov Jr.,7.0
Sergey Bondarchuk,7.5
Sergey Chekalov,4.2
Sergey Gerasimov,7.8
Sergey Ginzburg,4.1
Sergey Loban,7.5
Sergey Loznitsa,6.8
Sergey Makhovikov,6.9
Sergey Mikaelyan,7.0
Sergey Mokritskiy,7.2
Sergey Nikonenko,6.9
Sergey Solovev,7.4
Sergio Arau,4.7
Sergio Bergonzelli,5.2
Sergio Caballero,6.2
Sergio Cabrera,7.7
Sergio Castellitto,6.8
Sergio Citti,6.8
Sergio Corbucci,6.6
Sergio Garrone,5.3
Sergio Grieco,5.2
Sergio Leone,8.0
Sergio M. Castilla,6.2
Sergio Martino,5.7
Sergio Nasca,5.7
Sergio Rezende,7.0
Sergio Rubini,5.2
Sergio Sollima,7.0
Sergio Teubal,6.3
Sergio Tovar Velarde,7.5
Sergio V�jar,5.8
Sergiu Nicolaescu,7.7
Serik Aprimov,6.3
Sermiyan Midyat,5.7
Servando Gonz�lez,7.6
Seth Barrish,8.0
Seth Gordon,6.4
Seth Green,8.2
Seth Grossman,5.9
Seth Holt,7.4
Seth Kearsley,5.4
Seth MacFarlane,6.6
Seth Michael Donsky,4.8
Seth Pinsker,2.7
Seth Zvi Rosenfeld,6.3
Setsur� Wakamatsu,6.8
Seung-jin Ryoo,6.5
Seung-jun Yi,7.2
Seung-wan Ryoo,7.0
Seung-wook Byeon,5.9
Severin Eskeland,5.1
Sev� Schelenz,4.4
Seyfi Teoman,6.9
Seymour Kneitel,6.5
Seymour Robbie,4.3
Shaad Ali,6.6
Shahin Sean Solimon,6.1
Shahram Mokri,7.9
Shahriar Bahrani,6.8
Shainee Gabel,7.2
Shaji N. Karun,7.9
Shaka King,5.7
Shakun Batra,
Shalini Kantayya,
Shamim Sarif,6.8
Shamus Culhane,6.8
Shan Hua,6.6
Shan Jin,6.9
Shan Nicholson,6.8
